42221 ,1707,677,479,2406,7405,1260,376,6923
18382 ,810,760,360,2582,4071,1221,376,3973
14084 ,1582,547,766,1931,1937,702,376,1729
23113 ,2143,1042,406,2958,2419,1104,405,2736
18567 ,1165,615,360,1296,3841,2300,468,3228
19463 ,2303,996,775,2936,726,472,362,860
14469 ,1877,531,500,1995,1145,695,371,1430
27064 ,1863,1247,379,2434,2263,1266,384,2684
13249 ,1129,438,324,1263,1440,779,585,1698
23927 ,2143,1042,406,2958,2303,996,775,2936
7741 ,1582,547,766,1931,1877,531,500,1995
22751 ,2263,1266,384,2684,1165,615,360,1296
16710 ,1937,702,376,1729,1863,1247,379,2434
19861 ,4071,1221,376,3973,1707,677,479,2406
25172 ,7405,1260,376,6923,810,760,360,2582
12878 ,1129,438,324,1263,2419,1104,405,2736
41109 ,3841,2300,468,3228,1440,779,585,1698
13329 ,726,472,362,860,1145,695,371,1430
22692 ,1440,779,585,1698,1937,702,376,1729
18922 ,1145,695,371,1430,3841,2300,468,3228
26865 ,1863,1247,379,2434,4071,1221,376,3973
12345 ,1877,531,500,1995,726,472,362,860
12044 ,1707,677,479,2406,1582,547,766,1931
16659 ,2303,996,775,2936,1129,438,324,1263
27937 ,2419,1104,405,2736,810,760,360,2582
36216 ,2263,1266,384,2684,2143,1042,406,2958
19503 ,1165,615,360,1296,7405,1260,376,6923
14624 ,810,760,360,2582,1877,531,500,1995
25656 ,2419,1104,405,2736,4071,1221,376,3973
22542 ,7405,1260,376,6923,1937,702,376,1729
23002 ,1440,779,585,1698,2303,996,775,2936
13131 ,1582,547,766,1931,1145,695,371,1430
23982 ,2143,1042,406,2958,1863,1247,379,2434
21022 ,1707,677,479,2406,3841,2300,468,3228
11848 ,726,472,362,860,2263,1266,384,2684
9290 ,1129,438,324,1263,1165,615,360,1296
20688 ,2263,1266,384,2684,810,760,360,2582
31083 ,4071,1221,376,3973,1440,779,585,1698
10931 ,1165,615,360,1296,1707,677,479,2406
39055 ,3841,2300,468,3228,2419,1104,405,2736
13111 ,1877,531,500,1995,2303,996,775,2936
37076 ,1863,1247,379,2434,7405,1260,376,6923
11443 ,726,472,362,860,1582,547,766,1931
18563 ,1145,695,371,1430,2143,1042,406,2958
17169 ,1937,702,376,1729,1129,438,324,1263
14163 ,2303,996,775,2936,4071,1221,376,3973
21494 ,2143,1042,406,2958,1707,677,479,2406
32555 ,3841,2300,468,3228,2263,1266,384,2684
13852 ,1440,779,585,1698,726,472,362,860
11235 ,1165,615,360,1296,810,760,360,2582
13331 ,1582,547,766,1931,1863,1247,379,2434
22302 ,2419,1104,405,2736,1937,702,376,1729
13282 ,1129,438,324,1263,1877,531,500,1995
18831 ,1145,695,371,1430,7405,1260,376,6923
15125 ,1707,677,479,2406,1440,779,585,1698
22667 ,2263,1266,384,2684,4071,1221,376,3973
38414 ,2419,1104,405,2736,2303,996,775,2936
14463 ,810,760,360,2582,2143,1042,406,2958
31144 ,1877,531,500,1995,1937,702,376,1729
17708 ,7405,1260,376,6923,1582,547,766,1931
11477 ,726,472,362,860,1165,615,360,1296
27870 ,1863,1247,379,2434,3841,2300,468,3228
10417 ,1129,438,324,1263,1145,695,371,1430
15827 ,1582,547,766,1931,2419,1104,405,2736
19556 ,2143,1042,406,2958,1129,438,324,1263
54599 ,3841,2300,468,3228,7405,1260,376,6923
15674 ,1440,779,585,1698,2263,1266,384,2684
28585 ,4071,1221,376,3973,1877,531,500,1995
16367 ,1145,695,371,1430,810,760,360,2582
11028 ,1937,702,376,1729,1707,677,479,2406
16844 ,2303,996,775,2936,1165,615,360,1296
17727 ,1863,1247,379,2434,726,472,362,860
19910 ,1707,677,479,2406,726,472,362,860
16004 ,1165,615,360,1296,1863,1247,379,2434
38561 ,2263,1266,384,2684,2303,996,775,2936
25929 ,7405,1260,376,6923,2143,1042,406,2958
13280 ,810,760,360,2582,1129,438,324,1263
36412 ,2419,1104,405,2736,1145,695,371,1430
40000 ,4071,1221,376,3973,1582,547,766,1931
13904 ,1877,531,500,1995,1440,779,585,1698
18246 ,1937,702,376,1729,3841,2300,468,3228
23559 ,1582,547,766,1931,2263,1266,384,2684
53361 ,3841,2300,468,3228,1877,531,500,1995
31182 ,2303,996,775,2936,1937,702,376,1729
25789 ,2143,1042,406,2958,1165,615,360,1296
18397 ,1145,695,371,1430,1707,677,479,2406
34591 ,1440,779,585,1698,7405,1260,376,6923
33905 ,1863,1247,379,2434,2419,1104,405,2736
24516 ,726,472,362,860,810,760,360,2582
14221 ,1129,438,324,1263,4071,1221,376,3973
14789 ,810,760,360,2582,1863,1247,379,2434
14934 ,1707,677,479,2406,2263,1266,384,2684
16646 ,1145,695,371,1430,1440,779,585,1698
12180 ,1165,615,360,1296,1582,547,766,1931
31075 ,2419,1104,405,2736,1877,531,500,1995
14125 ,1937,702,376,1729,2143,1042,406,2958
20119 ,7405,1260,376,6923,2303,996,775,2936
30839 ,4071,1221,376,3973,3841,2300,468,3228
11550 ,1129,438,324,1263,726,472,362,860
10293 ,1582,547,766,1931,810,760,360,2582
24821 ,2143,1042,406,2958,4071,1221,376,3973
23221 ,3841,2300,468,3228,1129,438,324,1263
12864 ,1877,531,500,1995,1165,615,360,1296
44210 ,2263,1266,384,2684,7405,1260,376,6923
24772 ,2419,1104,405,2736,1440,779,585,1698
20700 ,2303,996,775,2936,1145,695,371,1430
11563 ,726,472,362,860,1937,702,376,1729
35861 ,1863,1247,379,2434,1707,677,479,2406
12234 ,1937,702,376,1729,1165,615,360,1296
15690 ,1440,779,585,1698,1863,1247,379,2434
24624 ,1707,677,479,2406,2419,1104,405,2736
26046 ,2263,1266,384,2684,1877,531,500,1995
14130 ,810,760,360,2582,2303,996,775,2936
33235 ,3841,2300,468,3228,1582,547,766,1931
29181 ,4071,1221,376,3973,1145,695,371,1430
18091 ,7405,1260,376,6923,1129,438,324,1263
14012 ,726,472,362,860,2143,1042,406,2958
14031 ,1129,438,324,1263,2263,1266,384,2684
12853 ,1165,615,360,1296,4071,1221,376,3973
25175 ,2419,1104,405,2736,726,472,362,860
14189 ,1440,779,585,1698,1582,547,766,1931
26753 ,1877,531,500,1995,7405,1260,376,6923
12083 ,810,760,360,2582,1707,677,479,2406
16236 ,1145,695,371,1430,1937,702,376,1729
30495 ,1863,1247,379,2434,2303,996,775,2936
24578 ,2143,1042,406,2958,3841,2300,468,3228
6491 ,1582,547,766,1931,1129,438,324,1263
10208 ,2303,996,775,2936,1707,677,479,2406
22609 ,2143,1042,406,2958,1440,779,585,1698
12360 ,1937,702,376,1729,2263,1266,384,2684
14346 ,726,472,362,860,4071,1221,376,3973
38506 ,2419,1104,405,2736,7405,1260,376,6923
12352 ,1877,531,500,1995,1863,1247,379,2434
14078 ,1145,695,371,1430,1165,615,360,1296
28081 ,3841,2300,468,3228,810,760,360,2582
6836 ,1440,779,585,1698,810,760,360,2582
27364 ,2263,1266,384,2684,1145,695,371,1430
20192 ,7405,1260,376,6923,726,472,362,860
19501 ,4071,1221,376,3973,1937,702,376,1729
19162 ,1863,1247,379,2434,1129,438,324,1263
17728 ,1707,677,479,2406,1877,531,500,1995
12343 ,1165,615,360,1296,2419,1104,405,2736
15690 ,1145,695,371,1430,1863,1247,379,2434
33705 ,2419,1104,405,2736,2263,1266,384,2684
22123 ,7405,1260,376,6923,4071,1221,376,3973
13502 ,2303,996,775,2936,1582,547,766,1931
12125 ,1165,615,360,1296,1440,779,585,1698
12821 ,1129,438,324,1263,1707,677,479,2406
11241 ,1877,531,500,1995,2143,1042,406,2958
14519 ,726,472,362,860,3841,2300,468,3228
8698 ,810,760,360,2582,1937,702,376,1729
15420 ,1937,702,376,1729,7405,1260,376,6923
11186 ,2263,1266,384,2684,726,472,362,860
15032 ,1582,547,766,1931,1707,677,479,2406
17442 ,2303,996,775,2936,1877,531,500,1995
28904 ,3841,2300,468,3228,1165,615,360,1296
18663 ,1440,779,585,1698,1145,695,371,1430
14651 ,4071,1221,376,3973,1129,438,324,1263
28209 ,2419,1104,405,2736,1863,1247,379,2434
22533 ,2143,1042,406,2958,810,760,360,2582
17188 ,1145,695,371,1430,1877,531,500,1995
16382 ,1707,677,479,2406,4071,1221,376,3973
12384 ,726,472,362,860,1440,779,585,1698
17639 ,1165,615,360,1296,2303,996,775,2936
33673 ,2263,1266,384,2684,3841,2300,468,3228
25719 ,1863,1247,379,2434,1937,702,376,1729
17582 ,810,760,360,2582,1582,547,766,1931
42401 ,2419,1104,405,2736,2143,1042,406,2958
14246 ,1129,438,324,1263,7405,1260,376,6923
9055 ,1440,779,585,1698,1129,438,324,1263
42975 ,4071,1221,376,3973,1863,1247,379,2434
14907 ,1145,695,371,1430,1582,547,766,1931
20269 ,7405,1260,376,6923,2263,1266,384,2684
25117 ,2303,996,775,2936,810,760,360,2582
15750 ,1937,702,376,1729,2419,1104,405,2736
23060 ,1877,531,500,1995,3841,2300,468,3228
15574 ,1707,677,479,2406,1165,615,360,1296
22715 ,2143,1042,406,2958,726,472,362,860
10965 ,1582,547,766,1931,2143,1042,406,2958
37265 ,3841,2300,468,3228,2303,996,775,2936
21276 ,7405,1260,376,6923,1863,1247,379,2434
30898 ,2263,1266,384,2684,1937,702,376,1729
28721 ,2419,1104,405,2736,1707,677,479,2406
14237 ,1129,438,324,1263,2303,996,775,2936
15084 ,1165,615,360,1296,1877,531,500,1995
12672 ,1582,547,766,1931,1440,779,585,1698
22807 ,2143,1042,406,2958,1145,695,371,1430
37238 ,3841,2300,468,3228,4071,1221,376,3973
17233 ,810,760,360,2582,726,472,362,860
35531 ,1440,779,585,1698,3841,2300,468,3228
16017 ,1937,702,376,1729,1145,695,371,1430
29790 ,2303,996,775,2936,2263,1266,384,2684
28435 ,2419,1104,405,2736,1165,615,360,1296
42819 ,4071,1221,376,3973,2143,1042,406,2958
26085 ,726,472,362,860,7405,1260,376,6923
30476 ,1863,1247,379,2434,1582,547,766,1931
27571 ,1707,677,479,2406,810,760,360,2582
13762 ,1877,531,500,1995,1129,438,324,1263
14340 ,1937,702,376,1729,1440,779,585,1698
17860 ,1165,615,360,1296,2143,1042,406,2958
13702 ,1129,438,324,1263,810,760,360,2582
28304 ,2263,1266,384,2684,1707,677,479,2406
22513 ,7405,1260,376,6923,3841,2300,468,3228
30015 ,2419,1104,405,2736,1582,547,766,1931
28574 ,726,472,362,860,2303,996,775,2936
18311 ,1145,695,371,1430,4071,1221,376,3973
37334 ,1863,1247,379,2434,1877,531,500,1995
16063 ,2303,996,775,2936,1863,1247,379,2434
27038 ,3841,2300,468,3228,1145,695,371,1430
23055 ,810,760,360,2582,7405,1260,376,6923
19454 ,1440,779,585,1698,2419,1104,405,2736
20130 ,4071,1221,376,3973,2263,1266,384,2684
11482 ,1877,531,500,1995,1707,677,479,2406
17759 ,1165,615,360,1296,1129,438,324,1263
15420 ,1582,547,766,1931,726,472,362,860
24398 ,2143,1042,406,2958,1937,702,376,1729
20188 ,4071,1221,376,3973,2419,1104,405,2736
16568 ,1145,695,371,1430,726,472,362,860
13590 ,2263,1266,384,2684,1863,1247,379,2434
13051 ,1877,531,500,1995,1582,547,766,1931
20825 ,7405,1260,376,6923,1440,779,585,1698
15194 ,810,760,360,2582,1165,615,360,1296
15480 ,1937,702,376,1729,2303,996,775,2936
27201 ,1707,677,479,2406,2143,1042,406,2958
13569 ,1129,438,324,1263,3841,2300,468,3228
15019 ,1937,702,376,1729,4071,1221,376,3973
22640 ,3841,2300,468,3228,1707,677,479,2406
11254 ,1440,779,585,1698,1165,615,360,1296
9152 ,726,472,362,860,1129,438,324,1263
12581 ,2263,1266,384,2684,1582,547,766,1931
22571 ,2143,1042,406,2958,1877,531,500,1995
23287 ,1863,1247,379,2434,810,760,360,2582
27285 ,2303,996,775,2936,2419,1104,405,2736
20215 ,7405,1260,376,6923,1145,695,371,1430
14099 ,810,760,360,2582,3841,2300,468,3228
36990 ,1707,677,479,2406,1863,1247,379,2434
19314 ,2303,996,775,2936,1440,779,585,1698
22923 ,2143,1042,406,2958,7405,1260,376,6923
9031 ,726,472,362,860,1877,531,500,1995
15688 ,1165,615,360,1296,2263,1266,384,2684
10880 ,1582,547,766,1931,4071,1221,376,3973
19271 ,1145,695,371,1430,2419,1104,405,2736
12042 ,1129,438,324,1263,1937,702,376,1729
20554 ,1863,1247,379,2434,1440,779,585,1698
17648 ,4071,1221,376,3973,726,472,362,860
11616 ,810,760,360,2582,2419,1104,405,2736
15285 ,1165,615,360,1296,1145,695,371,1430
12464 ,1877,531,500,1995,2263,1266,384,2684
29666 ,1582,547,766,1931,7405,1260,376,6923
23001 ,1707,677,479,2406,2303,996,775,2936
34131 ,3841,2300,468,3228,1937,702,376,1729
13084 ,1129,438,324,1263,2143,1042,406,2958
12443 ,1440,779,585,1698,1707,677,479,2406
19479 ,1145,695,371,1430,2303,996,775,2936
19698 ,3841,2300,468,3228,726,472,362,860
20413 ,7405,1260,376,6923,2419,1104,405,2736
15485 ,4071,1221,376,3973,1165,615,360,1296
11572 ,1937,702,376,1729,1582,547,766,1931
12962 ,2263,1266,384,2684,1129,438,324,1263
25748 ,1863,1247,379,2434,2143,1042,406,2958
9416 ,1877,531,500,1995,810,760,360,2582
6710 ,1582,547,766,1931,3841,2300,468,3228
14439 ,2303,996,775,2936,3841,2300,468,3228
18975 ,7405,1260,376,6923,1165,615,360,1296
12792 ,810,760,360,2582,2263,1266,384,2684
17762 ,1937,702,376,1729,1877,531,500,1995
19943 ,1440,779,585,1698,4071,1221,376,3973
15696 ,1707,677,479,2406,1145,695,371,1430
23910 ,2143,1042,406,2958,1582,547,766,1931
14359 ,726,472,362,860,2419,1104,405,2736
13570 ,1129,438,324,1263,1863,1247,379,2434
21817 ,3841,2300,468,3228,2143,1042,406,2958
37194 ,4071,1221,376,3973,7405,1260,376,6923
13617 ,2263,1266,384,2684,1440,779,585,1698
13328 ,1877,531,500,1995,2419,1104,405,2736
23195 ,2303,996,775,2936,2143,1042,406,2958
14225 ,1707,677,479,2406,1129,438,324,1263
15553 ,1165,615,360,1296,1937,702,376,1729
17022 ,726,472,362,860,1863,1247,379,2434
16313 ,810,760,360,2582,1145,695,371,1430
23744 ,7405,1260,376,6923,1707,677,479,2406
26124 ,4071,1221,376,3973,810,760,360,2582
34250 ,2419,1104,405,2736,1129,438,324,1263
19785 ,1440,779,585,1698,1877,531,500,1995
17033 ,1582,547,766,1931,2303,996,775,2936
16747 ,1937,702,376,1729,726,472,362,860
19744 ,1145,695,371,1430,2263,1266,384,2684
26256 ,1863,1247,379,2434,1165,615,360,1296
17512 ,810,760,360,2582,1440,779,585,1698
34312 ,2303,996,775,2936,7405,1260,376,6923
25635 ,1863,1247,379,2434,1145,695,371,1430
14963 ,1877,531,500,1995,4071,1221,376,3973
12235 ,1129,438,324,1263,1582,547,766,1931
21562 ,1707,677,479,2406,1937,702,376,1729
13894 ,1165,615,360,1296,726,472,362,860
40202 ,2419,1104,405,2736,3841,2300,468,3228
23893 ,2143,1042,406,2958,2263,1266,384,2684
13228 ,1582,547,766,1931,1165,615,360,1296
15756 ,1937,702,376,1729,810,760,360,2582
26399 ,1440,779,585,1698,2143,1042,406,2958
33133 ,4071,1221,376,3973,2303,996,775,2936
63854 ,2263,1266,384,2684,2419,1104,405,2736
25243 ,7405,1260,376,6923,1877,531,500,1995
17233 ,726,472,362,860,1707,677,479,2406
47188 ,3841,2300,468,3228,1863,1247,379,2434
16881 ,1145,695,371,1430,1129,438,324,1263
